ORF1	ORF2
MEL1	YJL092W
RRP13	RRP13
YAL005C	YLR310C
YAL005C	YNL064C
YAL005C	YPL240C
YAL015C	YAL015C
YAL017W	YAL017W
YAL017W	YCL027W
YAL021C	YGR092W
YAL024C	YIR009W
YAL030W	YDR468C
YAL030W	YGR009C
YAL031C	YCL027W
YAL036C	YAL036C
YAL038W	YNL307C
YAL040C	YBR160W
YAL040C	YJL157C
YAL040C	YNL064C
YAL041W	YGR152C
YAL041W	YJL157C
YAL041W	YLR229C
YAL041W	YOR212W
YAL047C	YAL047C
YAL047C	YHR172W
YAL047C	YIL061C
YAL047C	YLR045C
YAL047C	YNL126W
YAL051W	YOR363C
YAR008W	YLR105C
YAR008W	YMR059W
YAR008W	YPL083C
YAR014C	YDR195W
YAR014C	YER054C
YAR014C	YER158C
YAR014C	YIL045W
YAR014C	YMR071C
YAR014C	YNL333W
YAR018C	YAR018C
YAR019C	YAR019C
YAR027W	YAR027W
YAR033W	YAR033W
YAR044W	YLR191W
YBL007C	YBR205W
YBL007C	YFR024C
YBL007C	YGL104C
YBL007C	YGR268C
YBL007C	YJL004C
YBL007C	YJL151C
YBL007C	YKR030W
YBL007C	YLR064W
YBL007C	YLR078C
YBL007C	YMR253C
YBL007C	YNL152W
YBL007C	YOR284W
YBL007C	YPL246C
YBL008W	YBL008W
YBL008W	YOR038C
YBL016W	YDL159W
YBL016W	YDR103W
YBL016W	YGL178W
YBL016W	YLR362W
YBL021C	YBL021C
YBL023C	YDL017W
YBL023C	YDR052C
YBL023C	YIL150C
YBL026W	YGL173C
YBL034C	YBL034C
YBL036C	YBL036C
YBL049W	YBL049W
YBL050W	YGR009C
YBL050W	YLR093C
YBL050W	YOR106W
YBL061C	YBR023C
YBL061C	YNL233W
YBL063W	YIL061C
YBL067C	YJL203W
YBL071C	YCL027W
YBL075C	YLR310C
YBL077W	YBL077W
YBL078C	YNL223W
YBL079W	YOR098C
YBL084C	YBL084C
YBL084C	YDL008W
YBL084C	YDR118W
YBL084C	YFR036W
YBL084C	YOR249C
YBL085W	YBR200W
YBL085W	YDR085C
YBL085W	YER124C
YBL085W	YER158C
YBL085W	YJR056C
YBL085W	YLR229C
YBL085W	YML109W
YBL085W	YMR032W
YBL085W	YNL078W
YBL088C	YBL088C
YBL093C	YKL129C
YBL093C	YMR109W
YBL099W	YDR322CA
YBL101C	YJL203W
YBL103C	YOL067C
YBL105C	YCL027W
YBL105C	YER118C
YBL105C	YER165W
YBL105C	YJL020C
YBL105C	YPR154W
YBL105C	YPR165W
YBL106C	YGR009C
YBR003W	YJR022W
YBR009C	YBR010W
YBR017C	YDR192C
YBR017C	YGR119C
YBR017C	YKL068W
YBR017C	YMR047C
YBR017C	YOR098C
YBR020W	YML051W
YBR023C	YBR023C
YBR024W	YBR024W
YBR037C	YBR037C
YBR043C	YGR074W
YBR044C	YKL141W
YBR044C	YKL148C
YBR044C	YLL041C
YBR045C	YBR045C
YBR045C	YDR103W
YBR045C	YER054C
YBR045C	YOR178C
YBR050C	YER133W
YBR055C	YBR055C
YBR059C	YBR059C
YBR072W	YBR072W
YBR073W	YER179W
YBR082C	YBR082C
YBR083W	YBR083W
YBR088C	YBR088C
YBR088C	YJR043C
YBR094W	YBR094W
YBR097W	YLR240W
YBR098W	YFR024C
YBR098W	YHR016C
YBR101C	YPR154W
YBR103W	YDR227W
YBR109C	YBR109C
YBR109C	YGL043W
YBR112C	YDR043C
YBR112C	YIL061C
YBR112C	YMR240C
YBR113W	YDL043C
YBR114W	YIR009W
YBR114W	YLR147C
YBR117C	YIL061C
YBR118W	YLR249W
YBR119W	YDR110W
YBR119W	YLR223C
YBR119W	YLR449W
YBR119W	YML016C
YBR119W	YNL227C
YBR130C	YLR310C
YBR133C	YBR133C
YBR133C	YKL101W
YBR136W	YBR136W
YBR136W	YIR009W
YBR137W	YBR137W
YBR143C	YMR080C
YBR155W	YJR032W
YBR155W	YMR186W
YBR155W	YPL240C
YBR156C	YPL209C
YBR160W	YFL029C
YBR160W	YGL178W
YBR160W	YGR108W
YBR160W	YJL194W
YBR160W	YLR210W
YBR172C	YKL074C
YBR172C	YLR116W
YBR176W	YBR176W
YBR182C	YBR182C
YBR195C	YBR195C
YBR200W	YDR103W
YBR200W	YEL043W
YBR200W	YFL039C
YBR200W	YGR134W
YBR200W	YGR152C
YBR200W	YHL007C
YBR200W	YJL157C
YBR200W	YLR229C
YBR202W	YEL032W
YBR202W	YIL150C
YBR203W	YBR203W
YBR205W	YFR024C
YBR205W	YHR016C
YBR205W	YHR114W
YBR217W	YBR217W
YBR223C	YBR223C
YBR260C	YOR181W
YBR264C	YBR264C
YBR270C	YHR077C
YBR274W	YBR274W
YBR275C	YLR453C
YBR275C	YNL216W
YBR276C	YBR276C
YBR279W	YHL002W
YBR280C	YBR280C
YCL008C	YHL002W
YCL011C	YCL011C
YCL027W	YER032W
YCL027W	YER118C
YCL027W	YER149C
YCL027W	YFL039C
YCL027W	YGR070W
YCL027W	YIL159W
YCL027W	YKL092C
YCL027W	YKL105C
YCL027W	YKR023W
YCL027W	YKR101W
YCL027W	YLR117C
YCL027W	YNL054W
YCL027W	YNL058C
YCL027W	YNL075W
YCL027W	YNL271C
YCL027W	YOR017W
YCL027W	YPR008W
YCL029C	YML085C
YCL032W	YDR103W
YCL032W	YMR117C
YCL034W	YOR181W
YCL039W	YCL039W
YCL040W	YCL040W
YCL040W	YFL039C
YCL052C	YEL060C
YCL054W	YOR310C
YCL061C	YDL030W
YCR001W	YCR001W
YCR002C	YCR002C
YCR002C	YDR507C
YCR005C	YCR005C
YCR008W	YCR008W
YCR009C	YCR009C
YCR014C	YCR014C
YCR066W	YCR066W
YCR077C	YCR077C
YCR077C	YGL173C
YCR077C	YNL088W
YCR079W	YCR079W
YCR081W	YJL203W
YCR084C	YCR084C
YCR088W	YCR088W
YCR088W	YDR388W
YCR088W	YFL039C
YCR088W	YNL020C
YCR088W	YNL106C
YCR088W	YNL138W
YCR091W	YCR091W
YCR092C	YCR092C
YCR096C	YCR096C
YCR101C	YIL061C
YDL001W	YIR009W
YDL006W	YDL006W
YDL008W	YDR118W
YDL008W	YFR036W
YDL008W	YGL240W
YDL008W	YHR166C
YDL008W	YKL022C
YDL008W	YLR102C
YDL008W	YLR127C
YDL008W	YNL172W
YDL008W	YOR249C
YDL013W	YDL013W
YDL013W	YDL030W
YDL013W	YIL061C
YDL017W	YDL017W
YDL017W	YDR052C
YDL025C	YDL025C
YDL028C	YIL106W
YDL030W	YDL030W
YDL030W	YDR421W
YDL030W	YDR485C
YDL030W	YML104C
YDL030W	YMR005W
YDL030W	YNR053C
YDL030W	YOR017W
YDL030W	YOR023C
YDL030W	YOR191W
YDL030W	YPL146C
YDL035C	YER020W
YDL043C	YDL043C
YDL043C	YDR131C
YDL043C	YDR180W
YDL043C	YDR386W
YDL043C	YDR409W
YDL043C	YER113C
YDL043C	YJL146W
YDL043C	YKL074C
YDL043C	YKL155C
YDL043C	YLL014W
YDL043C	YMR117C
YDL043C	YMR302C
YDL043C	YNL023C
YDL043C	YNL286W
YDL043C	YNR053C
YDL043C	YPL215W
YDL059C	YDL059C
YDL064W	YDL064W
YDL064W	YMR168C
YDL074C	YDL074C
YDL089W	YDL089W
YDL099W	YDL099W
YDL101C	YDL101C
YDL102W	YJR006W
YDL102W	YJR043C
YDL106C	YFR034C
YDL108W	YDL140C
YDL108W	YOR151C
YDL116W	YDL116W
YDL127W	YDR388W
YDL129W	YJL020C
YDL132W	YDL132W
YDL132W	YDR054C
YDL132W	YPL256C
YDL134C	YDL134C
YDL135C	YPR165W
YDL140C	YGL130W
YDL140C	YOR210W
YDL146W	YHR114W
YDL156W	YDL156W
YDL156W	YLR116W
YDL159W	YDR103W
YDL159W	YLL021W
YDL159W	YLR313C
YDL160C	YNR052C
YDL161W	YIR006C
YDL161W	YLR116W
YDL161W	YOR181W
YDL164C	YDL164C
YDL165W	YDR448W
YDL175C	YDL175C
YDL179W	YDL179W
YDL179W	YDR388W
YDL190C	YDL190C
YDL192W	YDL192W
YDL193W	YDL193W
YDL195W	YIL109C
YDL200C	YDL200C
YDL207W	YDL207W
YDL207W	YDR192C
YDL213C	YDL213C
YDL217C	YHR005CA
YDL217C	YJL054W
YDL217C	YOR297C
YDL220C	YDL220C
YDL225W	YDL225W
YDL225W	YDR507C
YDL226C	YDR264C
YDL235C	YIL147C
YDL235C	YLR006C
YDL246C	YDL246C
YDR009W	YML051W
YDR020C	YDR020C
YDR030C	YDR030C
YDR032C	YDR032C
YDR051C	YDR051C
YDR052C	YDR052C
YDR052C	YMR001C
YDR054C	YFL009W
YDR073W	YOR290C
YDR074W	YDR074W
YDR076W	YDR076W
YDR085C	YHR107C
YDR085C	YPL242C
YDR086C	YLR378C
YDR092W	YDR092W
YDR100W	YDR100W
YDR103W	YDR103W
YDR103W	YDR264C
YDR103W	YER132C
YDR103W	YGR040W
YDR103W	YGR179C
YDR103W	YLR362W
YDR103W	YOR212W
YDR110W	YIL061C
